 &plot nbnd=  86, nks=    50 /
            0.000000  0.000000  0.000000
  -53.138  -53.122  -53.122  -53.106  -52.965  -52.949  -52.948  -52.933  -29.393  -29.380
  -29.349  -29.336  -29.332  -29.298  -29.275  -29.246  -29.222  -29.184  -29.150  -29.134
  -29.128  -29.125  -29.118  -29.116  -29.099  -29.097  -29.092  -29.091  -28.963  -28.940
  -28.921  -28.896  -10.003   -8.542   -8.456   -8.427   -8.214   -7.438   -7.421   -7.399
   -4.049   -3.701   -3.235   -2.966   -2.878   -2.756   -2.345   -2.019   -1.711   -1.564
   -1.278   -1.100   -1.026   -0.919   -0.389   -0.356   -0.337   -0.255   -0.238   -0.036
    0.030    0.222    0.830    1.078    1.096    1.163    1.180    1.513    1.673    1.677
    1.942    2.024    2.026    2.102    2.450    2.769    2.859    2.921    2.924    2.941
    3.351    3.368    3.534    3.764    3.778    4.238
            0.000000  0.000000 -0.195657
  -53.138  -53.122  -53.122  -53.106  -52.965  -52.949  -52.948  -52.933  -29.393  -29.380
  -29.349  -29.336  -29.332  -29.298  -29.275  -29.246  -29.222  -29.184  -29.150  -29.134
  -29.128  -29.125  -29.118  -29.116  -29.099  -29.097  -29.092  -29.091  -28.963  -28.940
  -28.921  -28.896  -10.003   -8.542   -8.456   -8.427   -8.214   -7.438   -7.421   -7.399
   -4.049   -3.701   -3.235   -2.966   -2.878   -2.756   -2.345   -2.019   -1.711   -1.564
   -1.278   -1.100   -1.026   -0.919   -0.389   -0.356   -0.337   -0.255   -0.238   -0.036
    0.030    0.222    0.830    1.078    1.096    1.163    1.180    1.513    1.673    1.677
    1.942    2.024    2.026    2.102    2.450    2.769    2.859    2.921    2.924    2.941
    3.351    3.368    3.534    3.764    3.778    4.238
            0.000000  0.142857  0.041927
  -53.138  -53.123  -53.121  -53.107  -52.964  -52.949  -52.949  -52.934  -29.381  -29.378
  -29.338  -29.338  -29.331  -29.300  -29.273  -29.248  -29.210  -29.172  -29.162  -29.136
  -29.132  -29.126  -29.117  -29.115  -29.101  -29.099  -29.093  -29.092  -28.976  -28.952
  -28.920  -28.897   -9.940   -8.551   -8.497   -8.412   -8.220   -7.485   -7.434   -7.419
   -3.892   -3.644   -3.175   -2.946   -2.867   -2.693   -2.497   -1.959   -1.566   -1.536
   -1.338   -1.248   -1.107   -0.854   -0.654   -0.627   -0.358   -0.222    0.058    0.080
    0.192    0.211    0.898    0.918    1.092    1.160    1.216    1.317    1.576    1.583
    1.769    2.042    2.077    2.457    2.511    2.662    2.703    2.795    2.898    3.094
