G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         0.5493999718      0.0000000000      0.0000000000      0.5000000000
M                             257         1.4047638612      0.4569300000      0.0000000000      0.2715300000
Y                             309         1.6910146894      0.5000000000      0.0000000000      0.0000000000
K                             361         1.9772971471      0.5430700000      0.0000000000     -0.2715300000
F                             548         3.0065684883      0.4569300000      0.4569300000      0.0430000000
G                             790         4.3351205522      0.0000000000      0.0000000000      0.0000000000
