  0.00000000E+00  0.12679287E+02
  0.54939997E-02  0.12701171E+02
  0.10987999E-01  0.12722945E+02
  0.16481999E-01  0.12744538E+02
  0.21975999E-01  0.12765882E+02
  0.27469999E-01  0.12786898E+02
  0.32963998E-01  0.12807497E+02
  0.38457998E-01  0.12827577E+02
  0.43951998E-01  0.12847009E+02
  0.49445997E-01  0.12865641E+02
  0.54939997E-01  0.12883290E+02
  0.60433997E-01  0.12899738E+02
  0.65927997E-01  0.12914745E+02
  0.71421996E-01  0.12928054E+02
  0.76915996E-01  0.12939421E+02
  0.82409996E-01  0.12948641E+02
  0.87903995E-01  0.12955585E+02
  0.93397995E-01  0.12960209E+02
  0.98891995E-01  0.12962551E+02
  0.10438599E+00  0.12962703E+02
  0.10987999E+00  0.12960776E+02
  0.11537399E+00  0.12956872E+02
  0.12086799E+00  0.12951065E+02
  0.12636199E+00  0.12943391E+02
  0.13185599E+00  0.12933854E+02
  0.13734999E+00  0.12922421E+02
  0.14284399E+00  0.12909037E+02
  0.14833799E+00  0.12893622E+02
  0.15383199E+00  0.12876084E+02
  0.15932599E+00  0.12856316E+02
  0.16481999E+00  0.12834209E+02
  0.17031399E+00  0.12809654E+02
  0.17580799E+00  0.12782548E+02
  0.18130199E+00  0.12752812E+02
  0.18679599E+00  0.12720395E+02
  0.19228999E+00  0.12685291E+02
  0.19778399E+00  0.12647553E+02
  0.20327799E+00  0.12607298E+02
  0.20877199E+00  0.12564714E+02
  0.21426599E+00  0.12520056E+02
  0.21975999E+00  0.12473640E+02
  0.22525399E+00  0.12425830E+02
  0.23074799E+00  0.12377025E+02
  0.23624199E+00  0.12327646E+02
  0.24173599E+00  0.12278119E+02
  0.24722999E+00  0.12228870E+02
  0.25272399E+00  0.12180314E+02
  0.25821799E+00  0.12132848E+02
  0.26371199E+00  0.12086848E+02
  0.26920599E+00  0.12042663E+02
  0.27469999E+00  0.12000618E+02
  0.28019399E+00  0.11961008E+02
  0.28568799E+00  0.11924099E+02
  0.29118199E+00  0.11890126E+02
  0.29667598E+00  0.11859298E+02
  0.30216998E+00  0.11831790E+02
  0.30766398E+00  0.11807751E+02
  0.31315798E+00  0.11787297E+02
  0.31865198E+00  0.11770519E+02
  0.32414598E+00  0.11757476E+02
  0.32963998E+00  0.11748199E+02
  0.33513398E+00  0.11742691E+02
  0.34062798E+00  0.11740930E+02
  0.34612198E+00  0.11742862E+02
  0.35161598E+00  0.11748410E+02
  0.35710998E+00  0.11757469E+02
  0.36260398E+00  0.11769910E+02
  0.36809798E+00  0.11785579E+02
  0.37359198E+00  0.11804297E+02
  0.37908598E+00  0.11825865E+02
  0.38457998E+00  0.11850059E+02
  0.39007398E+00  0.11876637E+02
  0.39556798E+00  0.11905335E+02
  0.40106198E+00  0.11935872E+02
  0.40655598E+00  0.11967947E+02
  0.41204998E+00  0.12001239E+02
  0.41754398E+00  0.12035401E+02
  0.42303798E+00  0.12070052E+02
